Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Expense Ratio","Tracking Error"
Axis Gold ETF,AXISGOLD,"Gold","277.8841584","38.87",,"0.53",
Aditya BSL Gold ETF,BSLGOLDETF,"Gold","222.387699325","4091.15",,"0.92",
Nippon India Gold Bees ETF,GOLDBEES,"Gold","4490.009805107","38.79",,"0.82",
UTI Gold ETF,GOLDSHARE,"Gold","585.661797","40.25",,"1.06",
HDFC Gold ETF,HDFCMFGETF,"Gold","1649.9847512000001","39.86",,"0.62",
ICICI Prudential Gold ETF,ICICIGOLD,"Gold","1656.0995360000002","39.86",,"0.66",
IDBI Gold ETF,IDBIGOLD,"Gold","82.98493056","4140",,"0.35",
Invesco India Gold ETF,IVZINGOLD,"Gold","65.0340018","4047",,"0.45",
Kotak Gold ETF,KOTAKGOLD,"Gold","1272.3262072","390.15",,"0.55",
Quantum Gold ETF,QGOLDHALF,"Gold","113.20653402","1929.65",,"0.78",
SBI Gold ETF,SETFGOLD,"Gold","1471.4034387","3989.35",,"1.07",
Aditya Birla Sun Life Nifty Bank ETF,ABSLBANETF,"Equity","138.310759884","330.31",,,"1.4175935524684078"
Aditya Birla Sun Life Nifty Next 50 ETF,ABSLNN50ET,"Equity","0","337.63",,,"1.0048563479423316"
Axis Nifty 50 ETF,AXISNIFTY,"Equity","28.77855519","151.49",,"0.07","1.6017378437185033"
Nippon India Nifty Bank Bees ETF,BANKBEES,"Equity","8195.423342","335.77",,"0.18","0.847698720065095"
Aditya BSL Nifty 50 ETF,BSLNIFTY,"Equity","219.60265881599997","160.12",,"0.05","1.6065001960784195"
CPSE ETF,CPSEETF,"Equity","13377.33683031","22.2",,"0.0095","0.9826320369293889"
Edelweiss Nifty Bank ETF,EBANK,"Equity","1.333074677","3639.9",,"0.12","0.847698720065095"
Edelweiss Nifty 100 Quality 30 ETF,EQ30,"Equity","27.261964799999998","424",,"0.28","0.21906820855614811"
HDFC Banking ETF,HBANKETF,"Equity","0","333.6",,"0.16","0.1396956692242104"
HDFC Nifty 50 ETF,HDFCNIFETF,"Equity","676.44279727","154.86",,"0.05","0.1889066436100118"
HDFC Sensex 30 ETF,HDFCSENETF,"Equity","101.50852599999999","527.58",,"0.05","0.1047717519181578"
Nippon India Hang Seng Bees ETF,HNGSNGBEES,"Equity","15.124411799999999","348.37",,"0.86","6.137084741145425"
Indiabulls Nifty 50 ETF,IBMFNIFTY,"Equity","15.249851564","153.83",,"0.12","0.6254556099356692"
ICICI Prudential BSE 500 ETF,ICICI500,"Equity","0","200.05",,"0.28","0.3730509348601073"
ICICI Prudential Alpha Low Vol 30 ETF,ICICIALPLV,"Equity","0","138.48",,"0.4","0.16668233259706922"
Bharat 22 ETF,ICICIB22,"Equity","6700.664851334999","35.28",,"0.01","1.5430021646128693"
ICICI Prudential Nifty Bank ETF,ICICIBANKN,"Equity","0","332.14",,"0.16","1.0302555605285517"
ICICI Prudential Nifty Private Bank ETF,ICICIBANKP,"Equity","0","177.19",,"0.16","3.9305281477175558"
ICICI Prudential Nifty 100 Low Vol 30 ETF,ICICILOVOL,"Equity","189.741027245","116.35",,"0.42","0.23970506878245193"
ICICI Prudential Nifty Midcap 150 ETF,ICICIM150,"Equity","0","88.84",,"0.27","0.5587826768968416"
ICICI Prudential Sensex Midcap Select ETF,ICICIMCAP,"Equity","23.988077052","84.8",,"0.45","0.4047999505928824"
ICICI Prudential Nifty 100 ETF,ICICINF100,"Equity","14.983731126","158.2",,"0.46","0.23494271642253567"
ICICI Prudential Nifty 50 ETF,ICICINIFTY,"Equity","1681.414836984","154.52",,"0.05","0.3349521159807772"
ICICI Prudential NV20 ETF,ICICINV20,"Equity","10.536614618","76.39",,"0.15","1.4953786410137069"
ICICI Prudential Nifty Next 50 ETF,ICICINXT50,"Equity","109.77224874000001","34.55",,"0.15","0.5222713088041502"
ICICI Prudential Sensex 30 ETF,ICICISENSX,"Equity","41.668181724","528.26",,"0.08","0.12699606293110036"
ICICI Prudential IT ETF,ICICITECH,"Equity","0","256.39",,"0.22","0.17938193889017923"
IDFC Nifty 50 ETF,IDFNIFTYET,"Equity","2.139308145","152.03",,"0.16","0.6159309052158367"
Nippon India Nifty Infra Bees ETF,INFRABEES,"Equity","13.829374691999998","420.94",,"1.08","0.2301803640626194"
Invesco India Nifty Exchange Traded Fund,IVZINNIFTY,"Equity","2.580472925","1575",,"0.1","0.30320310024800207"
Nippon India Junior Bees ETF,JUNIORBEES,"Equity","1483.2312285","355.51",,"0.15","0.21430585619623185"
Kotak Nifty Bank ETF,KOTAKBKETF,"Equity","6855.5971088920005","336.85",,"0.18","0.8429363677051787"
Kotak Nifty 50 ETF,KOTAKNIFTY,"Equity","1162.28145594","151.8",,"0.12","0.2095435038363156"
Kotak NV20 ETF,KOTAKNV20,"Equity","0","77.44",,"0.14","2.338315008718885"
Kotak Nifty PSU Bank ETF,KOTAKPSUBK,"Equity","38.905422369","207.73",,"0.49","0.2793913384484208"
LIC MF Nifty 50 ETF,LICNETFN50,"Equity","0","160.85",,"0.1","0.3190776081143896"
LIC MF Sensex 30 ETF,LICNETFSEN,"Equity","562.609508041","542.1",,"0.1","0.10000939955824154"
LIC MF Nifty 100 ETF,LICNFNHGP,"Equity","0","146.93",,"0.26","0.22541801170270315"
Motilal Oswal Nifty Midcap 100 ETF,M100,"Equity","57.405806856000005","24.56",,"0.2","0.6302179622955855"
Motilal Oswal Nifty 50 ETF,M50,"Equity","24.207706732","141.47",,"0.05","0.35082662384716473"
Mirae Asset Nifty 50 ETF,MAN50ETF,"Equity","220.068026633","148.55",,"0.07","0.32860231283422214"
Mirae Asset Nifty Next 50 ETF,MANXT50,"Equity","0","338.31",,"0.14","0.769913631519796"
Motilal Oswal NASDAQ 100 ETF,N100,"Equity","1911.1883571900003","920.58",,"0.54",
Tata Nifty 50 ETF,NETF,"Equity","0","178.99",,"0.08","0.28574114159497577"
Nippon India Nifty India Consumption ETF,NETFCONSUM,"Equity","15.88889232","63.96",,"0.35","0.11588390742462908"
Nippon India Nifty Dividend Opportunities ETF,NETFDIVOPP,"Equity","2.387931112","38.06",,"0.16","0.639742667015418"
Nippon India ETF Nifty IT,NETFIT,"Equity","18.11746797","25.83",,"0.22","0.1285835137177391"
Nippon India Nifty Midcap 150 ETF,NETFMID150,"Equity","276.103335075","88.59",,"0.23","0.43337406475238"
Nippon India Nifty 100 ETF,NETFNIF100,"Equity","8.749685334","150.37",,"0.79","0.1889066436100118"
Nippon India NV20 ETF,NETFNV20,"Equity","31.83382188","78.94",,"0.36","0.7984877456792935"
Nippon India Nifty 50 Bees ETF,NIFTYBEES,"Equity","3431.3301149960002","155.21",,"0.05","0.17779448810354048"
Edelweiss Nifty 50 ETF,NIFTYEES,"Equity","2.86935","18950",,"0.07","0.3762258364333848"
Tata Nifty Private Bank ETF,NPBET,"Equity","0","175.86",,"0.15","1.9176405502596154"
Nippon India Nifty PSU Bank Bees ETF,PSUBNKBEES,"Equity","84.21141099","23.08",,"0.49","0.34606427148724844"
Quantum Nifty 50 ETF,QNIFTY,"Equity","9.384569082","1503",,"0.094","0.2444674211423682"
SBI Nifty 200 Quality 30 ETF,SBIETFQLTY,"Equity","25.671113721","125.44",,,"0.4317866139657412"
SBI Nifty 50 ETF,SETFNIF50,"Equity","6465.110602981","147.27",,"0.07","1.589038237425393"
SBI Nifty Bank ETF,SETFNIFBK,"Equity","186.97882929","333.06",,"0.2","3.435243502286265"
SBI Nifty Next 50 ETF,SETFNN50,"Equity","19.461769523999997","351.93",,"0.2","0.271454084515227"
Nippon India Nifty Shariah Bees ETF,SHARIABEES,"Equity","3.30350209","359.82",,"1.03","0.40003759823296614"
UTI Bank ETF,UTIBANKETF,"Equity","30.13794144","33.3",,,"4.694091976090797"
UTI Nifty Next 50 ETF,UTINEXT50,"Equity","508.79727955","36.54",,,"0.25240467507556197"
UTI Nifty 50 ETF,UTINIFTETF,"Equity","0","1515.07",,,"1.589038237425393"
UTI Sensex 30 ETF,UTISENSETF,"Equity","11984.38346798","512.06",,,"0.3190776081143896"
UTI Sensex Next 50 ETF,UTISXN50,"Equity","6.3792895000000005","38.97",,,"1.138202214019987"
Nippon India Sensex Next 50 ETF,RETFSNXN50,"Equity","18.9874363","49",,"0.25","1.1016908459272956"
SBI Sensex Next 50 ETF,SETFSN50,"Equity","0","398.55",,,"1.1350273124467094"
IDFC Sensex 30 ETF,IDFSENSEXE,"Equity","0","509.15",,"0.29","0.7127654032008007"
Aditya BSL Sensex 30 ETF,BSLSENETFG,"Equity","0","520.66",,,"0.6302179622955855"
SBI BSE 100 ETF,SETFBSE100,"Equity","0","154.1",,"0.14","0.32066505890102837"
Nippon India Sensex 30 ETF,RELSENSEX,"Equity","0","532",,"0.07","0.11429645663799032"
SBI Sensex 30 ETF,SBISENSEX,"Equity","0","516.44",,"0.07","1.2255120072851184"
Kotak Sensex 30 ETF,KTKSENSEX,"Equity","109.7977341","510",,"0.28","0.0730227361853827"
SBI ETF Private Bank,SBIETFPB,"Equity","0","179.09",,,"0.11270900585135157"
SBI ETF IT,SBIETFIT,"Equity","0","254.22",,,"0.13175841529101662"
Axis Banking ETF,AXISBNKETF,"Equity","0","333.05",,"0.16",
Mirae Asset ESG Sector Leaders ETF,MAESGETF,"Equity","0","24.74",,"0.33",
Kotak IT ETF,KOTAKIT,"Equity",,"25.57",,,
Edelweiss Bharat Bond ETF-April 2023 ETF,EBBETF0423,"Debt","7773.15029166","1115.2",,"0.005",
Edelweiss Bharat Bond ETF-April 2025 ETF,EBBETF0425,"Debt","0","1032.48",,,
Edelweiss Bharat Bond ETF-April 2030 ETF,EBBETF0430,"Debt","6100.642396683","1131.73",,"0.005",
Edelweiss Bharat Bond ETF-April 2031 ETF,EBBETF0431,"Debt","0","1015.86",,,
ICICI Prudential Liquid ETF,ICICILIQ,"Debt","86.396236029","1000",,"0.65",
LIC MF G-SEC Long Term ETF,LICNETFGSC,"Debt","91.23399889800001","21.66",,"0.27","2.898685136402366"
Nippon India Liquid Bees ETF,LIQUIDBEES,"Debt","2580.8388","1000",,"0.65","0.015874507866387545"
DSP BlackRock Liquid ETF,LIQUIDETF,"Debt","35.335546641","1000",,"0.6","0.15080782473068166"
Nippon India G-SEC Long Term ETF,NETFLTGILT,"Debt","12.128473882","22.2",,"0.1","2.895510234829088"
SBI 10 year Gilt ETF,SETF10GILT,"Debt","27.720351072","201.5",,"0.14","3.0383808056265758"
Nippon India ETF Nifty CPSE Bd Plus SDL-2024 Mat,NCPSESDL24,"Debt","0","103.05",,"0.15",
Motilal Oswal 5 Year G-Sec ETF,G5,"Debt","0","47.42",,"0.2",